,Precinct,County,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total,calc_participation
75,Bishop,Oconee,1938.0,206.0,785.0,158.0,1.0,1150.0,53.0,236.0,168.0,1.0,458.0,1608.0,83.0
82,Civic Center,Oconee,4396.0,289.0,1670.0,478.0,0.0,2437.0,80.0,650.0,453.0,0.0,1183.0,3620.0,82.3
73,Antioch,Oconee,1397.0,219.0,533.0,137.0,0.0,889.0,37.0,112.0,102.0,0.0,251.0,1140.0,81.6
78,Dark Corner,Oconee,3541.0,435.0,1637.0,345.0,0.0,2417.0,50.0,323.0,192.0,1.0,566.0,2983.0,84.2
71,City Hall,Oconee,3910.0,259.0,1384.0,356.0,0.0,1999.0,93.0,720.0,372.0,0.0,1185.0,3184.0,81.4
77,North Oconee,Oconee,1244.0,167.0,527.0,126.0,0.0,820.0,22.0,134.0,79.0,0.0,235.0,1055.0,84.8
76,High Shoals,Oconee,1939.0,206.0,868.0,177.0,0.0,1251.0,40.0,246.0,118.0,0.0,404.0,1655.0,85.4
72,Colham Ferry,Oconee,1847.0,187.0,775.0,189.0,0.0,1151.0,29.0,244.0,159.0,0.0,432.0,1583.0,85.7
190,Crawford,Oglethorpe,3044.0,266.0,947.0,262.0,0.0,1475.0,121.0,333.0,216.0,0.0,670.0,2145.0,70.5
191,Lexington,Oglethorpe,4291.0,311.0,1549.0,406.0,2.0,2268.0,151.0,442.0,341.0,1.0,935.0,3203.0,74.6
189,Beaverdam,Oglethorpe,3509.0,475.0,1055.0,314.0,0.0,1844.0,122.0,333.0,258.0,0.0,713.0,2557.0,72.9
151,105,Putnam,3734.0,412.0,1477.0,634.0,1.0,2524.0,53.0,174.0,247.0,0.0,474.0,2998.0,80.3
152,106,Putnam,1332.0,291.0,410.0,148.0,0.0,849.0,24.0,62.0,61.0,0.0,147.0,996.0,74.8
150,104,Putnam,3380.0,160.0,781.0,238.0,0.0,1179.0,135.0,532.0,441.0,0.0,1108.0,2287.0,67.7
149,101,Putnam,3264.0,161.0,836.0,224.0,0.0,1221.0,138.0,452.0,365.0,0.0,955.0,2176.0,66.7
153,107,Putnam,4293.0,533.0,1484.0,603.0,0.0,2620.0,85.0,204.0,249.0,0.0,538.0,3158.0,73.6
148,Crawfordville,Taliaferro,992.0,64.0,169.0,56.0,0.0,289.0,61.0,167.0,170.0,0.0,398.0,687.0,69.3
147,Sharon,Taliaferro,253.0,38.0,30.0,6.0,0.0,74.0,29.0,30.0,41.0,0.0,100.0,174.0,68.8
108,Between,Walton,4925.0,550.0,2111.0,498.0,0.0,3159.0,100.0,358.0,253.0,0.0,711.0,3870.0,78.6
104,Bold Springs,Walton,4653.0,687.0,1780.0,551.0,2.0,3020.0,112.0,306.0,259.0,0.0,677.0,3697.0,79.5
105,Whatley,Walton,1254.0,241.0,501.0,135.0,0.0,877.0,23.0,50.0,46.0,0.0,119.0,996.0,79.4
106,Walker Park,Walton,3858.0,524.0,1436.0,406.0,0.0,2366.0,93.0,197.0,171.0,0.0,461.0,2827.0,73.3
107,Gratis,Walton,1243.0,328.0,444.0,136.0,0.0,908.0,19.0,35.0,56.0,0.0,110.0,1018.0,81.9
109,Walnut Grove,Walton,2661.0,497.0,925.0,206.0,0.0,1628.0,36.0,138.0,100.0,0.0,274.0,1902.0,71.5
112,South Monroe,Walton,3910.0,268.0,1201.0,330.0,0.0,1799.0,100.0,406.0,213.0,0.0,719.0,2518.0,64.4
