,Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,calc_participation
2166,Poplar Springs,Banks,1775.0,220.0,720.0,159.0,1.0,1100.0,21.0,48.0,38.0,0.0,107.0,8.0,18.0,3.0,0.0,29.0,1236.0,69.6
2157,Baldwin,Banks,876.0,84.0,308.0,112.0,0.0,504.0,20.0,47.0,44.0,0.0,111.0,2.0,6.0,5.0,0.0,13.0,628.0,71.7
2158,Berlin,Banks,415.0,42.0,192.0,28.0,1.0,263.0,3.0,19.0,5.0,0.0,27.0,2.0,2.0,0.0,0.0,4.0,294.0,70.8
2159,Bushville,Banks,816.0,115.0,294.0,41.0,1.0,451.0,7.0,21.0,13.0,0.0,41.0,5.0,6.0,3.0,0.0,14.0,506.0,62.0
2161,Davids,Banks,1977.0,236.0,727.0,122.0,4.0,1089.0,26.0,77.0,50.0,0.0,153.0,8.0,20.0,4.0,0.0,32.0,1274.0,64.4
2168,Wilmonts,Banks,620.0,73.0,261.0,49.0,0.0,383.0,3.0,16.0,8.0,0.0,27.0,4.0,4.0,2.0,0.0,10.0,420.0,67.7
2167,Washington,Banks,704.0,82.0,299.0,50.0,1.0,432.0,9.0,27.0,18.0,0.0,54.0,1.0,6.0,1.0,0.0,8.0,494.0,70.2
1137,04 Covenant Life Sanctuary,Barrow,4012.0,430.0,1174.0,279.0,0.0,1883.0,120.0,282.0,198.0,0.0,600.0,22.0,36.0,9.0,0.0,67.0,2550.0,63.6
1141,16 The Church at Winder,Barrow,10348.0,938.0,2737.0,645.0,1.0,4321.0,400.0,1236.0,763.0,3.0,2402.0,71.0,115.0,48.0,0.0,234.0,6957.0,67.2
1140,13 Winder Community Center,Barrow,9393.0,652.0,2348.0,579.0,0.0,3579.0,361.0,1054.0,583.0,0.0,1998.0,45.0,103.0,40.0,0.0,188.0,5765.0,61.4
1139,08 First Baptist Church Winder,Barrow,7009.0,683.0,2480.0,528.0,0.0,3691.0,180.0,529.0,351.0,0.0,1060.0,46.0,100.0,38.0,0.0,184.0,4935.0,70.4
1138,05 Fire Station 1 (Statham),Barrow,8336.0,907.0,2628.0,610.0,0.0,4145.0,268.0,797.0,605.0,0.0,1670.0,53.0,72.0,31.0,0.0,156.0,5971.0,71.6
1136,03 Hmong New Hope Alliance Church,Barrow,6364.0,863.0,1685.0,465.0,1.0,3014.0,184.0,394.0,310.0,0.0,888.0,48.0,75.0,40.0,0.0,163.0,4065.0,63.9
1135,02 Bethlehem Church - 211,Barrow,6784.0,740.0,2566.0,686.0,0.0,3992.0,143.0,408.0,358.0,1.0,910.0,38.0,53.0,29.0,0.0,120.0,5022.0,74.0
1134,01 Bethlehem Community Center,Barrow,3359.0,472.0,988.0,232.0,0.0,1692.0,106.0,266.0,166.0,0.0,538.0,38.0,35.0,8.0,0.0,81.0,2311.0,68.8
2116,Kingston,Bartow,2674.0,634.0,679.0,230.0,0.0,1543.0,90.0,101.0,76.0,0.0,267.0,20.0,15.0,14.0,0.0,49.0,1859.0,69.5
2120,White,Bartow,2723.0,643.0,752.0,229.0,1.0,1625.0,73.0,100.0,98.0,0.0,271.0,23.0,12.0,8.0,0.0,43.0,1939.0,71.2
2121,Zena Drive,Bartow,6431.0,498.0,1400.0,435.0,4.0,2337.0,270.0,622.0,385.0,2.0,1279.0,38.0,49.0,28.0,1.0,116.0,3732.0,58.0
2122,Woodland,Bartow,1865.0,300.0,492.0,154.0,1.0,947.0,49.0,134.0,110.0,0.0,293.0,17.0,8.0,7.0,0.0,32.0,1272.0,68.2
2118,Pine Log,Bartow,2132.0,629.0,504.0,200.0,1.0,1334.0,60.0,69.0,59.0,0.0,188.0,26.0,15.0,8.0,0.0,49.0,1571.0,73.7
2115,Hamilton Crossing,Bartow,6598.0,703.0,2135.0,348.0,0.0,3186.0,171.0,485.0,234.0,0.0,890.0,21.0,51.0,24.0,0.0,96.0,4172.0,63.2
2119,Taylorsville,Bartow,2829.0,779.0,800.0,251.0,0.0,1830.0,72.0,69.0,68.0,0.0,209.0,18.0,14.0,8.0,0.0,40.0,2079.0,73.5
2117,Mission Road,Bartow,4012.0,423.0,1271.0,327.0,3.0,2024.0,107.0,347.0,250.0,2.0,706.0,22.0,26.0,17.0,0.0,65.0,2795.0,69.7
