,Precinct,County,Registered Voters,Alan Toney (I)_Election Day Votes,Alan Toney (I)_Advanced Voting Votes,Alan Toney (I)_Absentee by Mail Votes,Alan Toney (I)_Provisional Votes,Alan Toney (I)_Choice Total,Total,calc_participation
320,SC17A,Fulton,60.0,1.0,31.0,9.0,0.0,41.0,41.0,68.3
319,SC16A,Fulton,5175.0,250.0,2179.0,732.0,0.0,3161.0,3161.0,61.1
318,SC15A,Fulton,2482.0,115.0,1148.0,92.0,0.0,1355.0,1355.0,54.6
317,SC15,Fulton,4522.0,249.0,1750.0,686.0,1.0,2686.0,2686.0,59.4
316,SC14A,Fulton,1030.0,61.0,276.0,79.0,0.0,416.0,416.0,40.4
315,SC13,Fulton,2895.0,153.0,1184.0,346.0,4.0,1687.0,1687.0,58.3
314,SC11B,Fulton,1691.0,100.0,473.0,286.0,4.0,863.0,863.0,51.0
323,SC18A,Fulton,570.0,38.0,190.0,94.0,0.0,322.0,322.0,56.5
192,CH05,Fulton,429.0,35.0,91.0,47.0,0.0,173.0,173.0,40.3
191,CH04A,Fulton,825.0,39.0,259.0,91.0,0.0,389.0,389.0,47.2
190,CH03,Fulton,410.0,30.0,98.0,38.0,0.0,166.0,166.0,40.5
68,05F,Fulton,248.0,20.0,76.0,21.0,1.0,118.0,118.0,47.6
67,05D,Fulton,541.0,17.0,46.0,7.0,1.0,71.0,71.0,13.1
66,05C,Fulton,135.0,5.0,24.0,6.0,0.0,35.0,35.0,25.9
65,05B,Fulton,2171.0,146.0,493.0,210.0,2.0,851.0,851.0,39.2
64,05A2,Fulton,3343.0,129.0,1273.0,522.0,10.0,1934.0,1934.0,57.9
63,05A1,Fulton,2936.0,128.0,1145.0,499.0,1.0,1773.0,1773.0,60.4
62,04X2,Fulton,846.0,47.0,203.0,80.0,0.0,330.0,330.0,39.0
61,04X1,Fulton,2283.0,134.0,506.0,215.0,2.0,857.0,857.0,37.5
60,04W,Fulton,3365.0,50.0,116.0,24.0,6.0,196.0,196.0,5.8
69,05J,Fulton,684.0,35.0,224.0,106.0,1.0,366.0,366.0,53.5
59,04V,Fulton,3573.0,312.0,612.0,177.0,2.0,1103.0,1103.0,30.9
57,04S,Fulton,2541.0,206.0,485.0,249.0,5.0,945.0,945.0,37.2
56,04M,Fulton,979.0,80.0,119.0,55.0,5.0,259.0,259.0,26.5
55,04L,Fulton,2014.0,145.0,449.0,157.0,3.0,754.0,754.0,37.4
54,04K,Fulton,2736.0,155.0,565.0,284.0,10.0,1014.0,1014.0,37.1
53,04J,Fulton,1617.0,44.0,87.0,13.0,6.0,150.0,150.0,9.3
